The Starry Night,Museum of Modern Art in New York City,Vincent van Gogh
The Persistence of Memory,Museum of Modern Art in New York City,Salvador Dali
Impression Sunrise,Musee Marmottan Monet,Claude Monet
CafeTerrace at Night,Kroller-Müller Museum in Otterlo Netherlands,Vincent van Gogh
The Lady with an Ermine,National Museum in Krakow at Wawel Royal Castle Poland,Leonardo da Vinci 
Bal du_moulin de la_Galette,Musee d Orsay in Paris,Pierre-Auguste Renoir
VincentvanGogh self portrait,Musee d Orsay in Paris,Vincent van Gogh
Portrait of AdeleBloch-BauerI,Osterreichische Galerie Belvedere,Gustav Klimt
The School of Athens,Stanze di Raffaello in Apostolic Palace in the Vatican,Raphael
I and the Village,Museum of Modern Art in New York City,Marc Chagall
Starry Night Over the Rhone,Musee d Orsay in Paris,Vincent van Gogh
Luncheon of the Boating Party,The Phillips Collection in Washingto D.C.,Pierre-Auguste Renoir
Irises,J. Paul Getty Museum in Malibu California,Vincent van Gogh
The Night Cafe,Yale University Art Gallery in New Haven Connecticut,Vincent van Gogh
Flaming June,Museo de Arte de Ponce in Peurto Rico,Sir Frederic Leighton
Vista de Toledo,Museum of Modern Art in New York City,El Greco
Young Hare,The Albertina Museum in Vienna,Albrecht Durer
The Wedding Feast at Cana,Louvre Museum in Paris,Paolo Veronese
The Red Vineyards,The Pushkin State Museum of Fine Arts in Moscow,Vincent van Gogh
Composition VIII,The Solomon R. Guggenheim Museum in New York City,Wassily Kandinsky
Almond Blossoms,Van Gogh Museum in Amsterdam Netherlands,Vincent van Gogh
The Milkmaid,Rijksmuseum in Amsterdam Netherlands,Johannes Vermeer
